Min Term Occurrence;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Precision 0;Precision 1;Precision 2;Precision 3;Precision 4;Precision 5;Recall 0;Recall 1;Recall 2;Recall 3;Recall 4;Recall 5;F-Measure 0;F-Measure 1;F-Measure 2;F-Measure 3;F-Measure 4;F-Measure 5
0;2.56787109375;101;500;0.24593516192143455;0.2666666666666663;0.19183001422611287;0.18811881188118812;0.10891089108910891;0.0297029702970297;0.06930693069306931;0.07920792079207921;0.5247524752475248;0.028400597907324365;0.02242152466367713;0.007473841554559043;0.014947683109118086;0.02242152466367713;0.9043348281016442;0.04935064935064935;0.03718728870858688;0.011942675159235668;0.024591603723871418;0.03494975972040192;0.6641328887139869
1;2.363079071044922;101;500;0.24593516192143455;0.2666666666666663;0.19183001422611287;0.18811881188118812;0.10891089108910891;0.0297029702970297;0.06930693069306931;0.07920792079207921;0.5247524752475248;0.028400597907324365;0.02242152466367713;0.007473841554559043;0.014947683109118086;0.02242152466367713;0.9043348281016442;0.04935064935064935;0.03718728870858688;0.011942675159235668;0.024591603723871418;0.03494975972040192;0.6641328887139869
2;2.577995777130127;122;500;0.2666188230199183;0.2729166666666662;0.20370497775319032;0.2540983606557377;0.08196721311475409;0.02459016393442623;0.06557377049180328;0.06557377049180328;0.5081967213114754;0.04633781763826607;0.02092675635276532;0.007473841554559043;0.014947683109118086;0.02242152466367713;0.8878923766816144;0.07838179519595449;0.03334127173136461;0.011463507833397018;0.02434570906877663;0.033416875522138685;0.6464114580590806
3;2.7979049682617188;173;500;0.31702440085292505;0.28854166666666614;0.232596060980211;0.35260115606936415;0.05202312138728324;0.017341040462427744;0.046242774566473986;0.046242774566473986;0.48554913294797686;0.09118086696562033;0.014947683109118086;0.007473841554559043;0.008968609865470852;0.02092675635276532;0.8565022421524664;0.14489311163895488;0.023222809960005156;0.01044568245125348;0.015023474178403756;0.028813995369179318;0.6197585707387735
4;2.1720170974731445;189;500;0.3060703670874088;0.2760416666666662;0.22802295451963975;0.31216931216931215;0.037037037037037035;0.015873015873015872;0.031746031746031744;0.042328042328042326;0.5608465608465608;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.1375291375291375;0.014440433212996389;0.01016260162601626;0.007858546168958742;0.028007001750437608;0.6820111435394003
5;2.1278610229492188;199;500;0.32928033905410803;0.26354166666666623;0.2212746407285444;0.2964824120603015;0.02512562814070352;0.010050251256281407;0.03015075376884422;0.035175879396984924;0.6030150753768844;0.08819133034379671;0.005979073243647235;0.0014947683109118087;0.004484304932735426;0.02092675635276532;0.8789237668161435;0.1359447004608295;0.009659502535619416;0.0026024723487312945;0.0078074170461938834;0.026241799437675725;0.7152849583358677
6;2.1708991527557373;182;500;0.3068610043731831;0.24687499999999957;0.19902646392958634;0.3241758241758242;0.02197802197802198;0.01098901098901099;0.03296703296703297;0.02197802197802198;0.5879120879120879;0.08819133034379671;0.005979073243647235;0.0029895366218236174;0.0029895366218236174;0.01195814648729447;0.8878923766816144;0.13866039952996473;0.009400705052878966;0.004700352526439483;0.00548195523069895;0.01548886737657309;0.7074143947109204
7;2.1398818492889404;180;500;0.2766546770921274;0.24479166666666624;0.19615829974692356;0.3277777777777778;0.022222222222222223;0.011111111111111112;0.03333333333333333;0.022222222222222223;0.5833333333333334;0.08819133034379671;0.005979073243647235;0.0;0.004484304932735426;0.01195814648729447;0.8893871449925261;0.13898704358068315;0.009422850412249707;0.0;0.007905138339920948;0.015549076773566572;0.7045589105979869
8;2.162369966506958;162;500;0.2662844084405463;0.23229166666666629;0.18345466884745146;0.345679012345679;0.018518518518518517;0.012345679012345678;0.037037037037037035;0.024691358024691357;0.5617283950617284;0.08370702541106129;0.004484304932735426;0.0;0.004484304932735426;0.01046337817638266;0.8968609865470852;0.13477737665463296;0.007220216606498194;0.0;0.008;0.014698162729658792;0.6907938435845368
9;2.1815500259399414;154;500;0.2549183627037599;0.22708333333333297;0.17370365020998166;0.3246753246753247;0.01948051948051948;0.012987012987012988;0.03896103896103896;0.025974025974025976;0.577922077922078;0.07473841554559044;0.004484304932735426;0.0;0.004484304932735426;0.01046337817638266;0.905829596412556;0.12150668286755772;0.007290400972053463;0.0;0.00804289544235925;0.014917421417155035;0.705642233343146
