n-slice;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Precision 0;Precision 1;Precision 2;Precision 3;Precision 4;Precision 5;Recall 0;Recall 1;Recall 2;Recall 3;Recall 4;Recall 5;F-Measure 0;F-Measure 1;F-Measure 2;F-Measure 3;F-Measure 4;F-Measure 5
1;0.7885279655456543;365;500;0.28515480298898055;0.8885416666666791;0.30471736141158734;0.1178082191780822;0.01643835616438356;0.00821917808219178;0.057534246575342465;0.1643835616438356;0.6356164383561644;0.06427503736920777;0.008968609865470852;0.005979073243647235;0.04035874439461883;0.18535127055306427;0.695067264573991;0.08317214700193423;0.011605415860735008;0.006922411306605134;0.047439759036144585;0.17423887587822015;0.6640138120781823
2;0.8363151550292969;200;500;0.21014829976416774;0.7864583333333428;0.22199095157869086;0.23;0.02;0.005;0.045;0.11;0.59;0.0687593423019432;0.0029895366218236174;0.0;0.014947683109118086;0.07025411061285501;0.8430493273542601;0.1058688147295742;0.005201560468140442;0.0;0.02244109213315048;0.08574508665726843;0.6941828081484493
3;0.8119821548461914;200;500;0.21014829976416774;0.7864583333333428;0.22199095157869086;0.23;0.02;0.005;0.045;0.11;0.59;0.0687593423019432;0.0029895366218236174;0.0;0.014947683109118086;0.07025411061285501;0.8430493273542601;0.1058688147295742;0.005201560468140442;0.0;0.02244109213315048;0.08574508665726843;0.6941828081484493
4;0.791780948638916;201;500;0.20913210238081217;0.7875000000000094;0.22206150320690923;0.22885572139303484;0.024875621890547265;0.004975124378109453;0.03980099502487562;0.10945273631840796;0.5920398009950248;0.0687593423019432;0.004484304932735426;0.0;0.013452914798206279;0.07025411061285501;0.8430493273542601;0.10574712643678161;0.007598784194528876;0.0;0.02010892333472979;0.08557831574591351;0.6955926933540613
5;0.8410739898681641;201;500;0.21099452751862682;0.7916666666666762;0.225091755219831;0.22885572139303484;0.024875621890547265;0.004975124378109453;0.03980099502487562;0.10945273631840796;0.5920398009950248;0.0687593423019432;0.004484304932735426;0.0;0.013452914798206279;0.07025411061285501;0.8430493273542601;0.10574712643678161;0.007598784194528876;0.0;0.02010892333472979;0.08557831574591351;0.6955926933540613
6;0.8025999069213867;200;500;0.20573774457289037;0.7916666666666762;0.225091755219831;0.23;0.025;0.005;0.04;0.11;0.59;0.0687593423019432;0.004484304932735426;0.0;0.013452914798206279;0.07025411061285501;0.8430493273542601;0.1058688147295742;0.0076045627376425855;0.0;0.020134228187919462;0.08574508665726843;0.6941828081484493
7;0.8483059406280518;200;500;0.205746282446992;0.7895833333333426;0.22510824479941718;0.23;0.025;0.005;0.04;0.11;0.59;0.0687593423019432;0.004484304932735426;0.0;0.013452914798206279;0.07025411061285501;0.8430493273542601;0.1058688147295742;0.0076045627376425855;0.0;0.020134228187919462;0.08574508665726843;0.6941828081484493
8;0.7925498485565186;201;500;0.20788946820199689;0.7895833333333426;0.22292169511054513;0.22885572139303484;0.024875621890547265;0.004975124378109453;0.03980099502487562;0.11442786069651742;0.5870646766169154;0.0687593423019432;0.004484304932735426;0.0;0.013452914798206279;0.07473841554559044;0.8385650224215246;0.10574712643678161;0.007598784194528876;0.0;0.02010892333472979;0.0904194677045249;0.6906308195489899
9;0.8021740913391113;201;500;0.20806116480461462;0.7927083333333427;0.22345879689764697;0.22885572139303484;0.024875621890547265;0.004975124378109453;0.03980099502487562;0.11442786069651742;0.5870646766169154;0.0687593423019432;0.004484304932735426;0.0;0.013452914798206279;0.07473841554559044;0.8385650224215246;0.10574712643678161;0.007598784194528876;0.0;0.02010892333472979;0.0904194677045249;0.6906308195489899
10;0.8324179649353027;200;500;0.20770531594333097;0.791666666666676;0.222902083934684;0.23;0.025;0.005;0.04;0.11;0.59;0.0687593423019432;0.004484304932735426;0.0;0.013452914798206279;0.07324364723467862;0.8400597907324364;0.1058688147295742;0.0076045627376425855;0.0;0.020134228187919462;0.08793539440411126;0.6931672084539724
11;0.8228411674499512;200;500;0.20770531594333097;0.791666666666676;0.222902083934684;0.23;0.025;0.005;0.04;0.11;0.59;0.0687593423019432;0.004484304932735426;0.0;0.013452914798206279;0.07324364723467862;0.8400597907324364;0.1058688147295742;0.0076045627376425855;0.0;0.020134228187919462;0.08793539440411126;0.6931672084539724
12;0.7888460159301758;200;500;0.20770531594333097;0.791666666666676;0.222902083934684;0.23;0.025;0.005;0.04;0.11;0.59;0.0687593423019432;0.004484304932735426;0.0;0.013452914798206279;0.07324364723467862;0.8400597907324364;0.1058688147295742;0.0076045627376425855;0.0;0.020134228187919462;0.08793539440411126;0.6931672084539724
13;0.8386421203613281;200;500;0.20770531594333097;0.791666666666676;0.222902083934684;0.23;0.025;0.005;0.04;0.11;0.59;0.0687593423019432;0.004484304932735426;0.0;0.013452914798206279;0.07324364723467862;0.8400597907324364;0.1058688147295742;0.0076045627376425855;0.0;0.020134228187919462;0.08793539440411126;0.6931672084539724
14;0.8203070163726807;200;500;0.20770531594333097;0.791666666666676;0.222902083934684;0.23;0.025;0.005;0.04;0.11;0.59;0.0687593423019432;0.004484304932735426;0.0;0.013452914798206279;0.07324364723467862;0.8400597907324364;0.1058688147295742;0.0076045627376425855;0.0;0.020134228187919462;0.08793539440411126;0.6931672084539724
15;1.1383440494537354;200;500;0.20770531594333097;0.791666666666676;0.222902083934684;0.23;0.025;0.005;0.04;0.11;0.59;0.0687593423019432;0.004484304932735426;0.0;0.013452914798206279;0.07324364723467862;0.8400597907324364;0.1058688147295742;0.0076045627376425855;0.0;0.020134228187919462;0.08793539440411126;0.6931672084539724
16;0.9416580200195312;200;500;0.20770531594333097;0.791666666666676;0.222902083934684;0.23;0.025;0.005;0.04;0.11;0.59;0.0687593423019432;0.004484304932735426;0.0;0.013452914798206279;0.07324364723467862;0.8400597907324364;0.1058688147295742;0.0076045627376425855;0.0;0.020134228187919462;0.08793539440411126;0.6931672084539724
17;0.7839820384979248;200;500;0.20770531594333097;0.791666666666676;0.222902083934684;0.23;0.025;0.005;0.04;0.11;0.59;0.0687593423019432;0.004484304932735426;0.0;0.013452914798206279;0.07324364723467862;0.8400597907324364;0.1058688147295742;0.0076045627376425855;0.0;0.020134228187919462;0.08793539440411126;0.6931672084539724
18;1.1041259765625;200;500;0.20770531594333097;0.791666666666676;0.222902083934684;0.23;0.025;0.005;0.04;0.11;0.59;0.0687593423019432;0.004484304932735426;0.0;0.013452914798206279;0.07324364723467862;0.8400597907324364;0.1058688147295742;0.0076045627376425855;0.0;0.020134228187919462;0.08793539440411126;0.6931672084539724
19;1.2646679878234863;200;500;0.20770531594333097;0.791666666666676;0.222902083934684;0.23;0.025;0.005;0.04;0.11;0.59;0.0687593423019432;0.004484304932735426;0.0;0.013452914798206279;0.07324364723467862;0.8400597907324364;0.1058688147295742;0.0076045627376425855;0.0;0.020134228187919462;0.08793539440411126;0.6931672084539724
20;1.0129790306091309;200;500;0.20770531594333097;0.791666666666676;0.222902083934684;0.23;0.025;0.005;0.04;0.11;0.59;0.0687593423019432;0.004484304932735426;0.0;0.013452914798206279;0.07324364723467862;0.8400597907324364;0.1058688147295742;0.0076045627376425855;0.0;0.020134228187919462;0.08793539440411126;0.6931672084539724
