Basecluster-amount;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Ground Truth 0;Ground Truth 1;Ground Truth 2;Ground Truth 3;Ground Truth 4;Ground Truth 5;Ground Truth Rep 0;Ground Truth Rep 1;Ground Truth Rep 2;Ground Truth Rep 3;Ground Truth Rep 4;Ground Truth Rep 5;fMeasure 0;fMeasure 1;fMeasure 2;fMeasure 3;fMeasure 4;fMeasure 5
100;0.8637828826904297;77;100;0.15720486111111112;0.08333333333333334;0.08775271512113617;0.6103896103896104;0.012987012987012988;0.0;0.05194805194805195;0.012987012987012988;0.3116883116883117;0.07025411061285501;0.0;0.0;0.007473841554559043;0.0;0.922272047832586;0.1260053619302949;0.0;0.0;0.01306762495916367;0.0;0.46591677810115634
150;1.0083019733428955;112;150;0.21024305555555542;0.11979166666666657;0.12609078330295423;0.5714285714285714;0.008928571428571428;0.0;0.0625;0.03571428571428571;0.32142857142857145;0.09566517189835576;0.0;0.0;0.014947683109118086;0.0014947683109118087;0.8878923766816144;0.16389244558258642;0.0;0.0;0.0241254523522316;0.0028694404591104736;0.4719904648390942
200;0.8810031414031982;135;200;0.23663194444444424;0.14687499999999984;0.15089191966659055;0.5703703703703704;0.007407407407407408;0.007407407407407408;0.05185185185185185;0.05185185185185185;0.3111111111111111;0.11509715994020926;0.0;0.0029895366218236174;0.014947683109118086;0.007473841554559043;0.85949177877429;0.19154228855721392;0.0;0.004259850905218317;0.023205701972484664;0.013064576334453154;0.45685423228625743
250;0.9628682136535645;175;250;0.3027653769841267;0.18854166666666639;0.18928545321637397;0.49714285714285716;0.005714285714285714;0.011428571428571429;0.045714285714285714;0.05714285714285714;0.38285714285714284;0.13004484304932734;0.0;0.004484304932735426;0.016442451420029897;0.01195814648729447;0.8370702541106129;0.20616113744075826;0.0;0.00644122383252818;0.024185790847876875;0.01977750309023486;0.5254055719316917
300;0.9822659492492676;202;300;0.3400198412698409;0.20937499999999964;0.2134149175020882;0.4801980198019802;0.0049504950495049506;0.009900990099009901;0.054455445544554455;0.0594059405940594;0.3910891089108911;0.14499252615844543;0.0;0.004484304932735426;0.016442451420029897;0.02242152466367713;0.8116591928251121;0.2227324913892078;0.0;0.006172839506172839;0.025258323765786454;0.032555615843733045;0.5278428911570904
350;1.1914830207824707;235;350;0.3801240079365074;0.23749999999999952;0.2450016178387885;0.4978723404255319;0.00425531914893617;0.00851063829787234;0.04680851063829787;0.059574468085106386;0.3829787234042553;0.17488789237668162;0.0;0.004484304932735426;0.016442451420029897;0.02242152466367713;0.7817638266068759;0.2588495575221239;0.0;0.005873715124816445;0.02433628318584071;0.032580870374680014;0.5141031592168855
400;0.9549479484558105;263;400;0.4092906746031741;0.2614583333333328;0.27048772894989953;0.49429657794676807;0.0038022813688212928;0.0076045627376425855;0.04182509505703422;0.06463878326996197;0.38783269961977185;0.19431988041853512;0.0;0.004484304932735426;0.016442451420029897;0.02391629297458894;0.7608370702541106;0.2789699570815451;0.0;0.005641748942172073;0.023605150214592276;0.0349143187215198;0.5137725439746667
450;1.3088970184326172;293;450;0.4355059523809518;0.2843749999999994;0.2944460622832328;0.5085324232081911;0.0034129692832764505;0.006825938566552901;0.040955631399317405;0.05802047781569966;0.3822525597269625;0.2227204783258595;0.0;0.004484304932735426;0.017937219730941704;0.02242152466367713;0.7324364723467862;0.3097713097713098;0.0;0.005412719891745602;0.02494802494802495;0.032343987823439876;0.5023386941756904
500;1.096311092376709;321;500;0.4550694444444438;0.3145833333333326;0.31053071836788887;0.48598130841121495;0.009345794392523364;0.006230529595015576;0.059190031152647975;0.056074766355140186;0.38317757009345793;0.23318385650224216;0.0;0.004484304932735426;0.02391629297458894;0.02092675635276532;0.7174887892376681;0.3151515151515151;0.0;0.005215123859191656;0.03406735025494481;0.0304789550072569;0.49956212161596153
600;1.177448034286499;371;600;0.48866455453148927;0.3541666666666658;0.34450227921444965;0.4716981132075472;0.01078167115902965;0.008086253369272238;0.05390835579514825;0.05390835579514825;0.40161725067385445;0.2615844544095665;0.0029895366218236174;0.005979073243647235;0.02391629297458894;0.02092675635276532;0.6846038863976084;0.3365384615384615;0.004681100058513751;0.006874820968203954;0.03313315386208325;0.030149671583934532;0.506248168576293
