Min Term Occurrence;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Precision 0;Precision 1;Precision 2;Precision 3;Precision 4;Precision 5;Recall 0;Recall 1;Recall 2;Recall 3;Recall 4;Recall 5;F-Measure 0;F-Measure 1;F-Measure 2;F-Measure 3;F-Measure 4;F-Measure 5
0e0;22.587407112121582;3386;5000;0.9274094742063598;0.8166666666666766;0.8083502665322003;0.5289427052569403;0.016538688718251624;0.015652687536916714;0.02244536326048435;0.03691671588895452;0.37950383933845244;0.7354260089686099;0.02092675635276532;0.01943198804185351;0.02242152466367713;0.017937219730941704;0.18385650224215247;0.6153240242715752;0.01847575057736721;0.01733878578169236;0.022433437629139855;0.02414350901760062;0.2477073494114688
1;22.367525815963745;3801;5000;0.9551463293650911;0.8239583333333438;0.8247567610346199;0.577479610628782;0.010523546435148644;0.008681925808997633;0.016837674296237833;0.026045777426992895;0.3604314654038411;0.7787742899850523;0.017937219730941704;0.01195814648729447;0.016442451420029897;0.01195814648729447;0.16292974588938713;0.6631889110803368;0.01326479854087216;0.0100600171477565;0.016637716095336003;0.01639089808462422;0.22441482403205795
2;21.017505884170532;4000;5000;0.9550347222222342;0.8104166666666769;0.8157470552227546;0.56625;0.01025;0.00825;0.015;0.0245;0.37575;0.7847533632286996;0.013452914798206279;0.01046337817638266;0.017937219730941704;0.01046337817638266;0.16292974588938713;0.6578319551570624;0.01163505651988838;0.009225792279888971;0.016337644656228726;0.014664073021098309;0.22729962462894737
3;20.161429166793823;4118;5000;0.9563988095238216;0.8041666666666767;0.8116599791044282;0.5597377367654202;0.010199125789218067;0.0075279261777561925;0.013598834385624089;0.024040796503156873;0.38489558037882465;0.7877428998505231;0.01195814648729447;0.01046337817638266;0.013452914798206279;0.01046337817638266;0.16591928251121077;0.6544501136917397;0.011008813603748238;0.008756178755169979;0.0135254810401739;0.014580725249061092;0.23188044782640496
4;19.999114990234375;4233;5000;0.9569444444444567;0.7958333333333435;0.8077586894218888;0.5530356721001654;0.009449562957713206;0.005905976848570754;0.013465627214741318;0.022442712024568864;0.3957004488542405;0.7937219730941704;0.007473841554559043;0.008968609865470852;0.01195814648729447;0.007473841554559043;0.17040358744394618;0.6518716510236894;0.008346374543557642;0.0071219998575600026;0.012667194466436103;0.011213408876298394;0.23822043905168433
5;19.81437587738037;4292;5000;0.9553819444444566;0.7895833333333433;0.8040781338663331;0.5465983224603914;0.009319664492078284;0.005824790307548928;0.013280521901211557;0.021668219944082013;0.4033084808946878;0.7922272047832586;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.005979073243647235;0.17488789237668162;0.6468804968688171;0.00829531314807134;0.007062645667066883;0.011704827141117972;0.009372047616048372;0.24397859779798015
6;19.761488914489746;4336;5000;0.954513888888901;0.7864583333333434;0.8027218298271022;0.5394372693726938;0.00922509225092251;0.005304428044280443;0.013376383763837638;0.020756457564575646;0.41190036900369004;0.7862481315396114;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.17937219730941703;0.6398675656158441;0.008257638315441783;0.006666183609883342;0.011741909361714434;0.01099035291244352;0.24991341885335078
7;19.76244306564331;4370;5000;0.9527777777777898;0.78437500000001;0.8022704409382133;0.5329519450800916;0.009153318077803204;0.005263157894736842;0.013043478260869565;0.020366132723112128;0.41922196796338673;0.7832585949177877;0.007473841554559043;0.008968609865470852;0.008968609865470852;0.007473841554559043;0.18385650224215247;0.634304587262775;0.008228759514503187;0.006633499170812603;0.010628875110717449;0.010934869948765833;0.2556107985965772
8;22.647382020950317;4400;5000;0.9562500000000121;0.78437500000001;0.8044033774461498;0.5345454545454545;0.008863636363636363;0.005227272727272727;0.012954545454545455;0.02;0.4184090909090909;0.7892376681614349;0.007473841554559043;0.005979073243647235;0.007473841554559043;0.007473841554559043;0.18236173393124067;0.6373905224128799;0.008109625501653117;0.005577954951950769;0.009478988242728617;0.010881392818280738;0.2540130251200359
9;22.56544303894043;4423;5000;0.9581597222222342;0.7843750000000099;0.8056682583985307;0.5349310422789961;0.008365362875876102;0.004973999547818223;0.01266108975808275;0.01876554374858693;0.42030296179063986;0.7937219730941704;0.007473841554559043;0.005979073243647235;0.008968609865470852;0.0029895366218236174;0.18086696562032886;0.6391232585698926;0.007894512247162243;0.00543042270904042;0.010499671885253588;0.0051574417845991335;0.2529032736806956
